Product ID Product Name Current Price Number in Stock Customer Rating (stars) Return Rate
CSw2104 Cotton Sweater 100 95 4.1 0.0023
WSc6070 Wool Scarf 50 362 3.1 0.0170314556500588
OCo8824 Oversized Coat 650 173 3.2 0.0161468285717108
LBa2237 Leather Bag 1000 246 3.3 0.0122817586535617
LWa7799 Leather Wallet 175 105 3.2 0.02
CWa1982 Chronograph Watch 350 65 4.9 0.00014
WGl6543 Winter Gloves 75 171 3.1 0.023441955368757
LSw9754 Light Sweatshirt 45 230 3.5 0.0123355038087431
ST-3720 Spring T-Shirt 25 145 3.7 0.00452008965055005
PSh9297 Polo Shirt 35 25 4.2 0.00759057658214786
PSk2742 Pleated Skirt 50 100 4 0.0125
LDr4317 Long Dress 125 373 4.5 0.0015
SDr6674 Sweater Dress 215 314 3.8 0.01889955577247
BSh1337 Button Shirt 60 199 3.5 0.0202473507035882
CBl7926 Cotton Blouse 75 243 3.75 0.0162193794430817
LSn4457 Leather Sneakers 175 95 4.7 0.00225
FFl5119 Flip Flops 25 250 3.9 0.00785914299865771
